,image_filename,FAME,logreg
0,00-13-953-I-B-user61,4.2775093531410375,0.8105885272117999
1,00-13-953-W-B-user62,0.8456455429706917,0.02270358055510439
2,00-34-288-I-B-user114,3.9542038228163015,0.3109973790480577
3,01-01-49-I-B-user135,3.223005699842618,0.4591397634966108
4,01-01-49-W-B-user134,3.1050632098432973,0.647203534692022
5,01-25-367-I-B-user147,2.6393210454225944,0.153600660339601
6,01-25-367-W-B-user148,2.9966471098270557,0.2371635464061297
7,01-38-934-I-B-user1,1.2412145040815563,0.008229057856092395
8,01-38-934-W-B-user44,1.2451868546989289,0.15536720184609526
9,01-50-492-I-T-user1,2.5063544702737937,0.0378338905813046
10,01-50-492-W-T-user2,4.240524015331694,0.7513679738484591
11,02-09-31-I-T-user100,3.933548856905275,0.736444579847355
12,02-09-31-W-T-user101,3.5245705056994967,0.8082723140144829
13,02-20-877-I-B-user130,1.5506556824415227,0.011545973952926777
14,02-20-877-W-B-user149,3.8331806642144937,0.4294372848308158
15,02-28-29-I-B-user22,-0.4762801827818821,0.00029712295984878767
16,02-28-29-W-B-user156,3.6646277939921768,0.5197806064008001
17,02-40-950-I-B-user17,5.167780849659955,0.9843114977197372
18,02-40-950-W-B-user18,0.4007045090211827,0.002709290096371689
19,02-44-269-I-T-user63,1.6308575596365231,0.03346575756284568
20,02-44-269-W-T-user64,3.2407319184281165,0.39568026095897024
21,03-12-820-I-B-user105,4.2002398449022795,0.7431803660875345
22,03-12-820-W-B-user106,2.5435695789745294,0.019649662149628492
23,03-23-90-I-T-user22,1.1839933764477326,0.014528818292177387
24,03-23-90-W-T-user51,0.764391508997095,0.006610444433387218
25,03-42-701-I-T-user39,3.1752498871619013,0.0503113487220919
26,03-42-701-W-T-user27,0.4155011476280874,0.0014731422618529894
27,03-47-890-I-T-user1,1.6844349759507793,0.010140597655988452
28,03-47-890-W-T-user151,3.164849225952348,0.2701857426696474
29,04-01-129-I-B-user22,0.12131098659896722,0.0026225510782079443
30,04-01-129-W-B-user111,1.1069448073152195,0.010976361509018434
31,04-30-467-I-T-user39,2.652982508500374,0.08296600587407257
32,04-38-645-I-T-user159,0.8797740872961946,0.013246134723997651
33,04-38-645-W-T-user96,1.9441246399894687,0.007617011007861041
34,04-57-574-I-B-user67,0.577364996932813,0.002439014145125458
35,04-57-574-W-B-user68,2.146927164294765,0.06532945644032857
36,05-06-501-I-T-user22,-1.8943544768180176,3.845012870088732e-05
37,05-06-501-W-T-user158,1.7166474411101689,0.03767154968722404
38,05-15-634-I-T-user77,1.4122431688726025,0.01454285989250504
39,05-15-634-W-T-user78,0.343558832519264,0.0011790538884319665
40,05-44-437-I-T-user114,3.9381570731338975,0.456890733302851
41,05-44-437-W-T-user115,4.011870268396248,0.5230459326570219
42,05-49-922-I-T-user9,3.807815430453593,0.2396289951903328
43,05-49-922-W-T-user10,3.4508348002114,0.6386798672639986
44,05-50-814-I-T-user19,-2.4930848831053787,7.171286278986412e-05
45,06-18-285-I-B-user112,2.887630988389564,0.06823937264731843
46,06-18-285-W-B-user113,2.2771336125540445,0.06815230291343713
47,06-44-152-I-B-user90,1.4279085204681667,0.03153912362368888
48,06-44-152-W-B-user91,2.7700789483047448,0.20868293606210114
49,06-50-611-I-B-user1,1.7298089951619875,0.009230907472810563
50,06-50-611-W-B-user74,2.365954337896289,0.05211180497674638
51,06-57-279-I-B-user22,1.5811736395957077,0.006219872360630688
52,06-57-279-W-B-user50,2.7324091362693084,0.3439918241540392
53,07-53-382-I-T-user148,3.5921229468721894,0.24354836403056496
54,07-53-382-W-T-user147,4.46263247990382,0.9332539130907664
55,08-33-112-I-B-user129,3.27032407639558,0.3968121700641736
56,08-33-112-W-B-user130,-0.26202887601979885,0.0010845930732793145
57,09-02-798-I-T-user114,3.5543766739458738,0.39888899372156217
58,09-14-629-I-B-user54,2.2589613350756914,0.04003886673061633
59,09-14-629-W-B-user55,4.875998512575803,0.8011994669107639
60,09-18-253-I-B-user96,2.120317152716682,0.0109907973663081
61,09-18-253-W-B-user97,2.965470737764468,0.3542719871418199
62,09-32-917-I-T-user101,3.341994259684917,0.6596548215050592
63,09-32-917-W-T-user100,4.234018029305913,0.8446020600761747
