,filename,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
203,28-52-283-I-B-user130_openface.csv,10.933,0.98,1.0,0.093318,0.18377,-0.97853,-0.12248699999999997,0.287342,-0.949964,-0.015,0.24,-5.9,25.9,398.3,-0.08900000000000001,0.115,-0.012,0.0,0.0,0.0,0.0,3.22,2.7,0.5,1.63,3.22,1.15,0.0,0.23,0.0,0.62,3.53,2.14,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
204,28-52-283-W-B-user150_openface.csv,14.667,0.98,1.0,-0.011355,0.200188,-0.979692,-0.050513,0.267225,-0.962309,-0.032,0.236,0.2,-24.0,338.7,0.023,0.002,-0.006999999999999999,0.0,0.0,1.9,0.3,1.48,1.35,0.0,1.22,2.59,2.0,1.17,0.93,0.0,0.14,0.83,0.47,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,29-09-99-I-T-user142_openface.csv,39.8,0.98,1.0,0.051948,0.236714,-0.97019,-0.147337,0.211164,-0.966282,-0.049,0.227,56.6,3.8,401.9,0.001,0.087,0.034,0.05,0.0,0.32,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,29-09-99-W-T-user143_openface.csv,8.732999999999999,0.98,1.0,0.025878,0.16544,-0.98588,-0.15316,0.175182,-0.97255,-0.065,0.172,60.2,66.8,400.6,-0.116,0.08800000000000001,-0.029,0.96,0.11,1.76,0.0,0.0,0.09,0.0,0.0,0.15,0.58,0.1,0.41,0.0,0.0,0.0,0.16,0.72,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
207,29-48-550-I-T-user124_openface.csv,6.132999999999999,0.98,1.0,0.062877,0.349984,-0.934643,-0.201329,0.29730300000000004,-0.933315,-0.07400000000000001,0.334,69.7,-24.4,415.0,0.119,0.103,0.0,0.0,0.0,0.0,0.0,0.44,0.22,0.0,1.03,2.41,0.45,0.35,1.55,0.37,0.1,0.94,0.16,0.56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
208,29-48-550-W-T-user125_openface.csv,0.0,0.98,1.0,0.088892,0.084323,-0.992465,-0.157599,0.047285,-0.98637,-0.035,0.066,19.9,90.6,497.6,-0.04,0.024,0.03,0.38,0.51,0.16,0.24,0.11,1.09,0.0,0.02,0.53,1.38,0.34,0.43,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,30-40-756-I-B-user127_openface.csv,0.0,0.98,1.0,0.077101,0.222483,-0.971883,-0.147161,0.218465,-0.964685,-0.036000000000000004,0.224,1.9,64.6,457.3,0.105,0.09,-0.021,0.82,0.0,1.41,0.0,0.0,2.83,0.0,0.0,0.18,0.0,0.19,0.42,0.0,0.01,0.0,0.35,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
210,30-40-756-W-B-user128_openface.csv,6.067,0.98,1.0,-0.045565,0.13824,-0.98935,-0.300544,0.15746300000000002,-0.94068,-0.177,0.152,50.8,-4.3,312.7,-0.106,0.104,-0.03,0.12,0.0,0.36,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.57,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,30-42-250-I-B-user68_openface.csv,1.3330000000000002,0.98,1.0,0.005220000000000001,0.21079,-0.977518,-0.179982,0.141593,-0.973426,-0.08900000000000001,0.179,57.0,13.7,352.8,-0.087,0.071,-0.0,0.0,0.0,0.05,0.0,2.0,1.29,0.28,1.29,2.11,0.79,0.0,0.39,0.36,0.0,0.96,0.17,0.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
212,30-42-250-W-B-user67_openface.csv,15.867,0.98,1.0,0.265968,0.244575,-0.93244,0.03154,0.227991,-0.973152,0.155,0.243,14.4,41.0,274.0,0.006,-0.122,-0.015,0.06,0.0,0.0,0.0,2.15,1.06,0.48,1.68,2.32,2.37,0.0,0.35,0.01,0.0,2.83,0.61,0.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
