,filename,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
10,2018-02-17_15-15-12-644-I-T-dd17_openface.csv,7.467,0.98,1.0,0.05807200000000001,0.22730300000000006,-0.972091,-0.051007,0.260464,-0.964135,0.004,0.247,-28.9,15.1,493.3,0.066,0.109,-0.029,0.0,0.0,0.36,0.0,1.19,1.1,0.37,1.03,1.57,0.89,0.73,0.32,0.62,0.46,1.84,0.12,0.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,2018-02-17_15-15-12-644-W-T-theotherguy_openface.csv,0.4,0.98,1.0,0.072447,0.025079,-0.997057,-0.086873,0.024817,-0.99591,-0.006999999999999999,0.025,14.6,48.2,551.4,-0.041,0.011,0.031,2.65,2.81,0.14,1.02,0.0,0.33,0.0,0.33,0.32,0.37,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,2018-02-17_15-30-27-188-I-B-qmjhl_openface.csv,0.0,0.98,1.0,0.083146,0.060608,-0.994693,-0.016335,0.07223500000000001,-0.997254,0.034,0.067,-77.5,68.1,377.4,-0.08199999999999999,-0.018000000000000002,-0.009000000000000001,1.95,0.9,0.0,0.4,0.0,0.0,0.0,0.09,0.0,0.0,0.22,0.52,0.0,0.0,1.13,0.73,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2018-02-17_15-30-27-188-W-B-theotherguy_openface.csv,3.2,0.98,1.0,0.051446000000000006,0.182513,-0.981857,-0.046083,0.107863,-0.993097,0.003,0.146,14.4,48.7,506.8,-0.04,0.079,-0.018000000000000002,0.4,0.35,0.22,0.34,0.19,0.23,0.0,0.61,0.93,0.99,0.0,0.02,0.0,0.3,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2018-02-17_15-58-54-6-I-T-kingferry_openface.csv,13.8,0.98,1.0,0.157493,0.282754,-0.946174,-0.102227,0.307781,-0.945949,0.029,0.303,-11.1,3.2,348.4,0.017,0.053,-0.031,0.95,0.0,0.29,0.0,0.34,0.68,0.18,0.47,0.6,0.01,0.02,0.0,0.51,0.0,3.12,1.67,1.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
15,2018-02-17_15-58-54-6-W-T-theotherguy_openface.csv,8.267000000000001,0.98,1.0,-0.010643,0.121241,-0.992566,-0.094802,0.094574,-0.990994,-0.053,0.108,6.9,40.9,515.6,-0.095,0.104,-0.034,0.08,0.02,0.27,0.0,0.96,1.57,0.0,1.02,2.01,0.03,0.09,0.36,0.11,0.02,2.16,0.98,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
16,2018-02-17_15-59-37-779-I-B-qmjhl_openface.csv,0.0,0.98,1.0,0.006755,-0.003287,-0.999972,-0.023379,0.024995,-0.999414,-0.008,0.011,-15.2,96.8,361.1,-0.021,-0.061,-0.027000000000000003,1.99,0.94,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.51,1.63,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2018-02-17_15-59-37-779-W-B-dd17_openface.csv,7.4,0.98,1.0,0.113735,0.250797,-0.961335,-0.124651,0.245249,-0.961413,-0.006,0.252,-24.0,38.1,319.1,0.048,0.114,-0.029,1.22,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.64,0.0,1.37,0.08,0.73,0.67,1.06,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,2018-02-17_16-12-17-891-I-T-dd17_openface.csv,7.8,0.98,1.0,0.1784,0.23131,-0.956383,-0.019679,0.241022,-0.97032,0.08199999999999999,0.24,-16.2,20.4,353.2,0.113,0.06,-0.011,0.0,0.0,0.01,0.0,0.44,0.0,0.03,0.05,1.21,1.08,0.0,0.22,0.0,0.0,1.04,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,2018-02-17_16-12-17-891-W-T-qmjhl_openface.csv,2.0,0.98,1.0,0.116084,0.030556,-0.992769,0.056142,0.062106,-0.996489,0.086,0.047,-89.6,100.4,337.7,-0.08,0.05,-0.025,0.25,1.46,0.0,0.15,0.0,0.0,0.29,0.59,0.66,1.13,1.2,0.07,0.77,1.07,0.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2018-02-17_16-12-53-703-I-T-theotherguy_openface.csv,0.333,0.98,1.0,0.078641,0.026286,-0.996556,-0.038398,0.036705,-0.998588,0.02,0.032,8.8,47.8,534.0,-0.099,0.102,0.012,0.78,0.9,0.05,0.46,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.75,1.67,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,2018-02-17_16-12-53-703-W-T-kingferry_openface.csv,17.467,0.98,1.0,0.037541000000000005,0.318828,-0.947069,-0.186351,0.221626,-0.95716,-0.078,0.277,182.7,10.8,348.6,0.022,-0.097,-0.031,0.0,0.0,0.0,0.0,0.31,1.0,0.17,0.06,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,2018-02-25_13-14-22-215-I-T-playerC_openface.csv,7.867000000000001,0.98,1.0,0.139972,0.189735,-0.971807,-0.06743099999999999,0.232202,-0.970327,0.037000000000000005,0.214,-45.6,62.6,349.6,0.112,-0.043,-0.028,0.01,0.0,1.29,0.0,0.01,0.26,0.0,0.23,1.1,0.63,0.0,0.2,0.0,0.0,2.13,1.31,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,2018-02-25_13-14-22-215-W-T-PlayerD_openface.csv,0.0,0.98,1.0,0.103525,0.203891,-0.973505,-0.109502,0.283571,-0.952679,-0.003,0.248,-8.1,-23.5,357.5,0.097,0.018000000000000002,-0.025,1.75,0.33,0.36,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,1.08,0.0,0.0,1.01,0.92,0.86,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2018-02-25_13-16-01-653-I-T-PlayerA_openface.csv,0.0,0.98,1.0,-0.015802,0.105992,-0.994241,-0.057695,0.15254700000000002,-0.986611,-0.037000000000000005,0.13,46.7,3.3,382.5,0.077,0.111,0.006,0.0,0.0,0.77,2.32,0.2,0.39,0.0,0.0,0.96,1.32,0.0,0.48,1.5,1.14,0.0,0.41,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2018-02-25_13-16-01-653-W-T-PlayerB_openface.csv,11.533,0.98,1.0,0.07964600000000001,0.17390999999999998,-0.981535,-0.117849,0.165105,-0.97921,-0.019,0.171,31.8,44.7,445.1,0.048,-0.001,-0.031,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.33,0.45,0.62,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
